ili,representation_lemma,en_definitions,lang_lemmas
i70899,amnistia,['a warrant granting release from punishment for an offense'],perdón
i53529,autovía,['a broad highway designed for high-speed traffic'],vía expresa
i61504,malicia,['the trait of behaving like an imp'],capricho
i70447,cápsula,['a shortened version of a written work'],resumen
i78715,wine,['fermented juice (of grapes especially)'],vino
i116579,lana,['fiber sheared from animals (such as sheep) and twisted into yarn for weaving'],lana
i45310,lana,['outer coat of especially sheep and yaks'],lana
i61244,lana,['a fabric made from the hair of sheep'],lana
i40513,invasión,['the act of invading; the act of an army that invades for conquest or plunder'],invasión
i39287,invasión,"[""entry to another's property without right or permission""]",violación
i78427,queso,['a solid food prepared from the pressed curd of milk'],queso
i66587,estupidez,['a poor ability to understand or to profit from experience'],estupidez
i91171,muchacho,['a youthful male person'],joven
i90206,joven,['a young woman'],joven
i89923,joven,['a youthful female person'],joven
i94223,muchacho,['a young person (especially a young man or boy)'],joven
i74102,taco,['profane or obscene expression usually of surprise or anger'],voto
i78649,taco,['a tortilla rolled cupped around a filling'],taco
i110340,trabajo,['the state of being employed or having a job'],trabajo
i38449,trabajo,['work that a person is expected to do in a specified time'],trabajo
i61259,trabajo,['a place where work is done'],trabajo
i38467,trabajo,['the occupation for which you are paid'],trabajo
i105591,arbusto,['a low woody perennial plant usually having several major stems'],mata
i50178,arte,['the products of human creativity; works of art collectively'],arte
i40314,arte,['the creation of beautiful or significant things'],arte
i66548,arte,['a superior skill that you can learn by study and practice and observation'],arte
i86379,valley,['a long depression in the surface of the land that usually contains a river'],valle
i60065,teléfono,['electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds'],teléfono
i69469,teléfono,['transmitting speech at a distance'],teléfono
i111370,gastroenteritis,['inflammation of the stomach and intestines; can be caused by Salmonella enteritidis'],gastroenteritis
i88948,admirador,['an enthusiastic and vocal supporter'],defensor
i80325,admirador,['the fans of a sport or famous person'],fan
i88086,admirador,['someone who admires a young woman'],admirador
i52242,teclado,['a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard'],teclado
i67718,todo,['all of something including all its component elements or parts'],todo
i107125,cincuenta,['a United States bill worth 50 dollars'],cincuenta
i68078,credo,['a strong belief in a supernatural power or powers that control human destiny'],fe
i68146,credo,['any system of principles or beliefs'],credo
i76312,júbilo,['a feeling of extreme joy'],júbilo
i57275,comprimido,['a dose of medicine in the form of a small pellet'],comprimido
i87274,mulato,['an offspring of a black and a white parent'],mulato
i84881,porqué,"[""the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'""]",causa
i71917,porqué,['an explanation of the cause of some phenomenon'],razón
i82477,esquina,['the point where three areas or surfaces meet or intersect'],esquina
i81885,esquina,['a place off to the side of an area'],esquina
i52370,esquina,['the intersection of two streets'],esquina
i106690,descuento,['interest on an annual basis deducted in advance on a loan'],descuento
i117131,mes,['a time unit of approximately 30 days'],mes
i117150,mes,['one of the twelve divisions of the calendar year'],mes
i40257,excavación,['the act of extracting ores or coal etc from the earth'],minería
i40355,excavación,['the act of digging'],excavación
i81910,excavación,['the site of an archeological exploration'],sitio arqueológico
i53506,excavación,['a hole in the ground made by excavating'],excavación
i81999,extremo,['a boundary marking the extremities of something'],fin
i82013,extremo,['the outermost or farthest region or point'],extremo
i82014,extremo,['the point located farthest from the middle of something'],extremo
i117310,verano,['the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox'],verano
i71323,saludo,['(usually plural) an acknowledgment or expression of good will (especially on meeting)'],saludo
i71335,saludo,['an act of greeting with friendly words and gestures like bowing or lifting the hat'],saludo
i88357,tía,['the sister of your father or mother; the wife of your uncle'],tía
i89378,tía,['informal terms for a (young) woman'],tía
i56215,micrófono,['device for converting sound waves into electrical energy'],micrófono
i74130,habla,['the utterance of intelligible speech'],habla
i73859,habla,['a manner of speaking that is natural to native speakers of a language'],habla
i66617,habla,['the mental faculty or power of vocal communication'],habla
i88670,muchacho,['a friendly informal reference to a grown man'],muchacho
i78716,vendimia,"[""a season's yield of wine from a vineyard""]",vendimia
i56456,museo,['a depository for collecting and displaying objects having scientific or historical or artistic value'],museo
i50650,dormitorio,['a room used primarily for sleeping'],habitación
i85280,cráter,['a faint constellation in the southern hemisphere near Hydra and Corvus'],Crater
i93703,turista,['someone who travels for pleasure'],turista
i57875,circuito,['a racetrack for automobile races'],circuito
i57872,circuito,['a course over which races are run'],pista
i37041,circuito,['a journey or route all the way around a particular place or area'],circuito
i71848,proclamación,['a formal public statement'],anuncio
i117257,h,['a period of time equal to 1/24th of a day'],hora
i82265,ruta,['an established line of travel or access'],camino
i67875,ruta,['a proposed route of travel'],ruta
i37052,ruta,['a journey or passage'],camino
i53564,fábrica,['a plant consisting of one or more buildings with facilities for manufacturing'],planta
i57398,fábrica,['buildings for carrying on industrial labor'],planta
i63417,peso,['the vertical force exerted by a mass as a result of gravity'],peso
i61069,peso,['an artifact that is heavy'],peso
i108928,peso,['a system of units used to express the weight of something'],peso
i117401,cumpleaños,['the date on which a person was born'],cumpleaños
i117384,cumpleaños,['an anniversary of the day on which a person was born (or the celebration of it)'],cumpleaños
i76277,reverencia,['a feeling of profound respect for someone or something'],miedo
i113304,clima,['the weather in some location averaged over some long period of time'],clima
i62612,astucia,['the quality of being adroit in taking unfair advantage'],astucia
i62613,astucia,['crafty artfulness (especially in deception)'],astucia
i39392,astucia,['the use of tricks to deceive someone (usually to extract money from them)'],arte
i81104,tribu,['a social division of (usually preliterate) people'],tribu
i79196,tribu,['group of people related by blood or marriage'],familia
i87891,norteamericano,['a native or inhabitant of the United States'],estadounidense
i40454,combate,['an engagement fought between two military forces'],combate
i37749,combate,['a boxing or wrestling match'],lucha
i41538,combate,['the act of fighting; any contest or struggle'],lucha
i77287,salchicha,['highly seasoned minced meat stuffed in casings'],salchicha
i48648,mono,['any of various primates with short tails or no tail at all'],mono
i56826,mono,['(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)'],mono
i71654,ronda,['an outburst of applause'],ronda
i98806,papaya,['pawpaw'],papaya
i63205,tonalidad,['pitch of the voice'],tono
i72552,tonalidad,['any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music'],llave
i89260,contrarrevolucionario,['a revolutionary whose aim is to reverse the changes introduced by an earlier revolution'],contrarrevolucionario
i58112,balneario,['a fashionable hotel usually in a resort area'],balneario
i82548,balneario,['a health resort near a spring or at the seaside'],spa
i60637,túnel,"['a passageway through or under something, usually underground (especially one for trains or cars)']",túnel
i80773,país,['a federation of tribes (especially Native American tribes)'],país
i80079,país,['a politically organized body of people under a single government'],estado
i81672,país,['the country or state or city where you live'],país
i81888,país,['the territory occupied by a nation'],estado
i89333,cubista,['an artist who adheres to the principles of cubism'],cubista
i48883,pescado,['any fish used for food by human beings'],pescado
i77942,pescado,['the flesh of fish used as food'],pescado
i50265,barreño,['hand tool for boring holes'],taladro
i68343,aritmética,['the branch of pure mathematics dealing with the theory of numerical calculations'],aritmética
i61566,desesperación,['desperate recklessness'],desesperación
i113128,desesperación,['a state in which all hope is lost or absent'],desesperación
