Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_word_frequency,avg_n_senses,normalized_length,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
nb,0.8706329687283245,4,0.9344674139630641,1,1,"rose, rosebush",0,1,1,4.0,2.19e-05,1.0,0.12499999999998437,0.0,0.0315669292873802,0.0,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.4742048084496613,3,0.005158450734362146,0,0,"rose, rosebush",0,1,5,4.0,5.13e-05,5.0,0.16666666666665278,0.307692307692284,0.06339421313908665,0.0,0.0,0.2857142857142653,rose,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.4549465535229582,3,0.0032498520745601243,0,0,"rose, rosebush",5,2,10,5.0,3.30699e-05,5.0,0.21428571428569898,0.22580645161288865,0.03358180476706528,0.06849315068493057,0.09090909090908264,0.12499999999999806,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.44173767489568316,3,0.008718682899362052,0,0,"rose, rosebush",11,2,4,6.0,3.307945e-05,2.0,0.29999999999997,0.14285714285712245,0.06588724159275816,0.05499999999999973,0.09090909090908264,0.14285714285713608,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.7361970645516236,4,0.44666188768298504,0,1,wood,91,1,8,4.0,6.03e-05,8.0,0.09999999999999,0.9999999999998571,0.12629546586561446,0.45499999999999774,0.0,0.3333333333333175,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.73105857834586,4,0.0,0,0,wood,0,1,2,3.0,0.000692,2.0,0.0,0.11111111111109877,0.9999999985547933,0.0,0.0,0.08333333333332639,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.43540505299618726,3,0.003339674035398372,0,0,wood,44,2,5,6.0,2.5725e-05,2.5,0.2857142857142653,0.0645161290322539,0.025882473771725117,0.602739726027389,0.09090909090908264,0.04687499999999927,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.43220151453411937,3,0.009839170979936978,0,0,wood,12,1,3,6.0,4.9e-05,3.0,0.33333333333330556,0.153846153846142,0.06045870498084426,0.3243243243243155,0.0,0.14285714285713266,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.6270138149536357,3,0.4708432842183956,0,1,midnight,0,1,1,7.0,1.35e-05,1.0,0.4999999999999375,0.0,0.01942719226030025,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.3864519196508655,2,0.008325336447691494,0,0,midnight,0,1,1,8.0,2.04e-05,1.0,0.49999999999995,0.0,0.03774882928086632,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.3649708255181823,2,0.0045354967297792,0,0,midnight,0,1,3,10.0,1.78e-05,3.0,0.5714285714285307,0.09677419354838085,0.017575049826120584,0.0,0.0,0.015624999999999757,midnight,12 o'clock at night; the middle of the night,i116927
es,0.34095082995907,2,0.002475890185367296,0,0,midnight,0,1,1,10.0,7.59e-06,1.0,0.6666666666666111,0.0,0.007606795053532444,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.8431135093506403,4,0.9999999999995589,1,1,"break of day, morning, first light",0,12,21,10.0,0.00017533333333333333,2.0,0.69999999999993,0.14285714285712245,0.38157904385556085,0.0,0.9999999999999091,0.9523809523809071,break of day,the first light of day,i116932
it,0.4432332696641274,3,0.0010801163398452924,0,0,"break of day, morning, first light",0,7,26,5.333333333333333,1.0616666666666668e-05,5.666666666666667,0.23809523809522107,0.26881720430105793,0.01004508195954739,0.0,0.5454545454544959,0.37499999999999417,break of day,the first light of day,i116932
