Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_word_frequency,avg_n_senses,normalized_length,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
nb,0.8706329687283245,4,0.4705707807955356,1,1,"rose, rosebush",0,1,1,4.0,2.19e-05,1.0,0.12499999999998437,0.0,0.0315669292873802,0.0,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.3394522479686465,2,0.10244534466665149,0,0,"rose, rosebush",11,2,4,6.0,3.307945e-05,2.0,0.29999999999997,0.14285714285712245,0.06588724159275816,0.05499999999999973,0.09090909090908264,0.14285714285713608,rose,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.3338300909859916,2,0.10398467870987138,0,0,"rose, rosebush",5,2,10,5.0,3.30699e-05,5.0,0.21428571428569898,0.22580645161288865,0.03358180476706528,0.06849315068493057,0.09090909090908264,0.12499999999999806,rose,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.3325489366851496,2,0.1612175439854218,0,0,"rose, rosebush",0,1,5,4.0,5.13e-05,5.0,0.16666666666665278,0.307692307692284,0.06339421313908665,0.0,0.0,0.2857142857142653,rose,any of many shrubs of the genus Rosa that bear roses,i103203
nb,0.6911616120540289,4,0.045659853186982055,0,0,wood,0,1,2,3.0,0.000692,2.0,0.0,0.11111111111109877,0.9999999985547933,0.0,0.0,0.08333333333332639,wood,the hard fibrous lignified substance under the bark of trees,i116549
en,0.3182039867358829,2,0.641666861344071,0,1,wood,91,1,8,4.0,6.03e-05,8.0,0.09999999999999,0.9999999999998571,0.12629546586561446,0.45499999999999774,0.0,0.3333333333333175,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.2903051970558556,2,0.17117052046136624,0,0,wood,12,1,3,6.0,4.9e-05,3.0,0.33333333333330556,0.153846153846142,0.06045870498084426,0.3243243243243155,0.0,0.14285714285713266,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.2563795567160606,2,0.16773646808334902,0,0,wood,44,2,5,6.0,2.5725e-05,2.5,0.2857142857142653,0.0645161290322539,0.025882473771725117,0.602739726027389,0.09090909090908264,0.04687499999999927,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.6270138149536357,4,0.23710306916677817,0,1,midnight,0,1,1,7.0,1.35e-05,1.0,0.4999999999999375,0.0,0.01942719226030025,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.3864519196508655,3,0.0031841453115312324,0,0,midnight,0,1,1,8.0,2.04e-05,1.0,0.49999999999995,0.0,0.03774882928086632,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
es,0.34095082995907,3,0.0010151098824645597,0,0,midnight,0,1,1,10.0,7.59e-06,1.0,0.6666666666666111,0.0,0.007606795053532444,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.3393364276993747,2,0.018638891805573522,0,0,midnight,0,1,3,10.0,1.78e-05,3.0,0.5714285714285307,0.09677419354838085,0.017575049826120584,0.0,0.0,0.015624999999999757,midnight,12 o'clock at night; the middle of the night,i116927
nb,0.4077634797733322,3,0.0001568509524412219,0,0,"break of day, morning, first light",0,1,1,6.0,1.29e-06,1.0,0.37499999999995315,0.0,0.0017812173673661935,0.0,0.0,0.0,break of day,the first light of day,i116932
en,0.39803507465674637,3,0.9999999999997705,1,1,"break of day, morning, first light",0,12,21,10.0,0.00017533333333333333,2.0,0.69999999999993,0.14285714285712245,0.38157904385556085,0.0,0.9999999999999091,0.9523809523809071,break of day,the first light of day,i116932
es,0.2989621243267396,2,0.14641679805518648,0,0,"break of day, morning, first light",0,2,4,6.0,1.91e-05,2.0,0.33333333333330556,0.076923076923071,0.02229709892369325,0.0,0.2499999999999375,0.21428571428569898,break of day,the first light of day,i116932
it,0.19508176760172824,2,0.24968231587570996,0,0,"break of day, morning, first light",0,7,26,5.333333333333333,1.0616666666666668e-05,5.666666666666667,0.23809523809522107,0.26881720430105793,0.01004508195954739,0.0,0.5454545454544959,0.37499999999999417,break of day,the first light of day,i116932
it,0.33400383415012225,2,0.02554824790630625,0,0,"dusk, fall, twilight",0,2,4,9.5,1.034e-06,2.0,0.5357142857142474,0.03225806451612695,0.0,0.0,0.09090909090908264,0.031249999999999514,dusk,the time of day immediately following sunset,i116935
nb,0.32082130082462745,2,0.0,0,0,"dusk, fall, twilight",0,1,1,9.0,5.75e-08,1.0,0.7499999999999063,0.0,0.0,0.0,0.0,0.0,dusk,the time of day immediately following sunset,i116935
en,0.18461493664171064,2,0.7732882063538064,0,1,"dusk, fall, twilight",1,9,22,5.333333333333333,4.812e-05,5.333333333333333,0.23333333333330997,0.6190476190475306,0.0992654399607966,0.004999999999999975,0.7272727272726611,0.9999999999999525,dusk,the time of day immediately following sunset,i116935
es,0.16798415159675187,2,0.25674516947591103,0,0,"dusk, fall, twilight",1,3,6,9.666666666666666,1.6299999999999999e-06,2.0,0.6388888888888355,0.076923076923071,0.0,0.027027027027026296,0.499999999999875,0.3571428571428316,dusk,the time of day immediately following sunset,i116935
en,0.7277776977516576,4,0.46166280199931753,0,1,"time of year, season",8,2,4,9.0,0.000454,2.0,0.59999999999994,0.14285714285712245,0.9999999977807861,0.0399999999999998,0.09090909090908264,0.14285714285713608,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.5700862939252556,4,0.31217255899575286,0,1,"time of year, season",11,1,5,8.0,0.000129,5.0,0.42857142857139796,0.22580645161288865,0.13414104891144857,0.15068493150684725,0.0,0.04687499999999927,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0.5370645529080137,4,0.3934158715049827,0,1,"time of year, season",5,1,3,8.0,6.46e-05,3.0,0.4999999999999583,0.153846153846142,0.08036910814109698,0.13513513513513148,0.0,0.14285714285713266,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
nb,0.20202224163303703,2,0.2349363201408173,0,0,"time of year, season",5,1,1,6.0,9.55e-07,1.0,0.37499999999995315,0.0,0.0012970730930719342,0.9999999999997999,0.0,0.0,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
es,0.8551716179842602,4,0.5443731594346134,1,1,"summertime, summer",0,1,1,6.0,8.71e-05,1.0,0.33333333333330556,0.0,0.10908603577607684,0.0,0.0,0.0,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.8547469408936987,4,0.4826176550968258,1,1,"summertime, summer",0,1,1,6.0,0.000102,1.0,0.37499999999995315,0.0,0.14732799308132108,0.0,0.0,0.0,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
it,0.8523915750850507,4,0.4357343446580564,1,1,"summertime, summer",0,1,2,6.0,6.92e-05,2.0,0.2857142857142653,0.03225806451612695,0.07145537674146103,0.0,0.0,0.0,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
en,0.8062006627806866,4,0.5379696075912994,1,1,"summertime, summer",0,2,3,8.0,8.589e-05,1.5,0.49999999999995,0.07142857142856122,0.18308515083312588,0.0,0.09090909090908264,0.09523809523809071,summertime,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,i117310
nb,0.37616624539375465,3,0.9999999999997652,1,1,"festivity, celebration",1,3,13,5.666666666666667,4.47e-05,4.333333333333333,0.3333333333332917,0.37037037037032916,0.06451764407516862,0.19999999999996,0.6666666666664445,0.9999999999999166,festivity,any joyous diversion,i37653
it,0.2983201383259259,2,0.05911640526827512,0,0,"festivity, celebration",3,2,7,9.75,5.961749999999999e-06,3.0,0.5535714285713891,0.09677419354838085,0.005165540485546087,0.04109589041095835,0.09090909090908264,0.07812499999999879,festivity,any joyous diversion,i37653
en,0.2502791312424955,2,0.09564838019875532,0,0,"festivity, celebration",7,2,4,10.0,9.923499999999999e-06,2.0,0.69999999999993,0.14285714285712245,0.014499234339008822,0.03499999999999982,0.09090909090908264,0.14285714285713608,festivity,any joyous diversion,i37653
es,0.2148123114067682,2,0.19853247843311983,0,0,"festivity, celebration",3,2,5,9.0,1.6795e-05,2.5,0.5833333333332847,0.11538461538460651,0.019355209225976427,0.08108108108107888,0.2499999999999375,0.2857142857142653,festivity,any joyous diversion,i37653
nb,0.8567995084623686,4,0.5035710970376502,1,1,"soccer, association football",0,1,1,7.0,0.0002,1.0,0.4999999999999375,0.0,0.2889582583972537,0.0,0.0,0.0,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
es,0.8406416520014149,4,0.5872313946069619,1,1,"soccer, association football",0,1,2,6.0,0.000115,2.0,0.33333333333330556,0.076923076923071,0.14469502604345186,0.0,0.0,0.07142857142856633,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.7547929427683466,4,0.5525556369539744,1,1,"soccer, association football",0,3,14,7.0,5.36e-05,4.666666666666667,0.3571428571428316,0.20430107526880403,0.055102592697116475,0.0,0.18181818181816528,0.18749999999999709,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
en,0.2593607825230539,2,0.05112351946169266,0,0,"soccer, association football",0,2,2,13.0,4.36e-05,1.0,0.9999999999999,0.0,0.08923459290909082,0.0,0.09090909090908264,0.047619047619045354,soccer,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,i37904
it,0.6391782452772782,4,0.2787132451061758,0,1,"athletics, sport",20,1,2,5.0,8.91e-05,2.0,0.21428571428569898,0.03225806451612695,0.09231565895187495,0.2739726027397223,0.0,0.0,athletics,an active diversion requiring physical exertion and competition,i38140
es,0.5693560095433957,4,0.37141074888166103,0,1,"athletics, sport",8,1,2,7.0,4.9e-05,2.0,0.41666666666663194,0.076923076923071,0.06045870498084426,0.21621621621621037,0.0,0.07142857142856633,athletics,an active diversion requiring physical exertion and competition,i38140
nb,0.534775089046594,4,0.38465513590296574,0,1,"athletics, sport",1,2,2,5.5,4.7449999999999995e-05,1.0,0.3124999999999609,0.0,0.06849196274474835,0.19999999999996,0.33333333333322224,0.08333333333332639,athletics,an active diversion requiring physical exertion and competition,i38140
en,0.37016434687145827,3,0.5071135734445056,0,1,"athletics, sport",20,2,10,7.0,3.0155e-05,5.0,0.39999999999996,0.5714285714284898,0.05939726135816502,0.0999999999999995,0.09090909090908264,0.4285714285714082,athletics,an active diversion requiring physical exertion and competition,i38140
nb,0.6675427902739541,4,0.2809673554330149,0,1,"squealer, pig, hog",0,1,2,4.0,1.15e-05,2.0,0.12499999999998437,0.11111111111109877,0.016536778682424074,0.0,0.0,0.08333333333332639,squealer,domestic swine,i48199
it,0.5697165864996955,4,0.29587412730903073,0,1,"squealer, pig, hog",0,3,10,6.5,6.48675e-06,3.0,0.32142857142854847,0.09677419354838085,0.005715874563961531,0.0,0.18181818181816528,0.12499999999999806,squealer,domestic swine,i48199
es,0.4949222941725655,4,0.8075737221376561,0,1,"squealer, pig, hog",1,5,10,4.666666666666667,0.00078514,2.6666666666666665,0.22222222222220372,0.12820512820511834,0.9999999987236922,0.027027027027026296,0.99999999999975,0.6428571428570969,squealer,domestic swine,i48199
en,0.1711567575211222,2,0.324089034666432,0,0,"squealer, pig, hog",1,5,15,4.666666666666667,5.855233333333334e-06,3.6666666666666665,0.16666666666665003,0.38095238095232653,0.005470880202087068,0.004999999999999975,0.36363636363633056,0.666666666666635,squealer,domestic swine,i48199
nb,0.8525335114662957,4,0.517477805855884,1,1,fish,0,1,2,4.0,5.13e-05,2.0,0.12499999999998437,0.11111111111109877,0.07405600888215999,0.0,0.0,0.08333333333332639,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
en,0.8072522536130728,4,0.6077778494332511,1,1,fish,13,1,4,4.0,7.94e-05,4.0,0.09999999999999,0.4285714285713673,0.16868245230091997,0.06499999999999968,0.0,0.14285714285713608,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
it,0.6256305885948177,4,0.27799471028074746,1,0,fish,3,1,5,5.0,4.07e-05,5.0,0.21428571428569898,0.22580645161288865,0.041580098198908455,0.04109589041095835,0.0,0.04687499999999927,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
es,0.5778941970226428,4,0.39742380432219454,1,0,fish,2,2,3,4.5,7.7734e-06,1.5,0.20833333333331597,0.0384615384615355,0.007840869921454902,0.05405405405405259,0.2499999999999375,0.14285714285713266,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,i48880
en,0.8436771331299336,4,0.5338363808236094,1,1,boat,26,1,2,4.0,5.13e-05,2.0,0.09999999999999,0.14285714285712245,0.10632254032018255,0.12999999999999937,0.0,0.047619047619045354,boat,a small vessel for travel on water,i50885
nb,0.8418851266943178,4,0.5635730450507871,1,1,boat,2,1,1,3.0,5.01e-05,1.0,0.0,0.0,0.07232176073543428,0.39999999999992,0.0,0.0,boat,a small vessel for travel on water,i50885
it,0.5066923949721831,4,0.3489434047984977,1,0,boat,19,3,9,6.666666666666667,8.995666666666666e-06,3.0,0.33333333333330956,0.09677419354838085,0.008345859976477993,0.26027397260273616,0.18181818181816528,0.1093749999999983,boat,a small vessel for travel on water,i50885
es,0.47411223661871243,4,0.9999999999997324,1,1,boat,8,3,12,6.666666666666667,1.5689999999999997e-05,4.0,0.3888888888888565,0.23076923076921302,0.01794488900212519,0.21621621621621037,0.499999999999875,0.7857142857142296,boat,a small vessel for travel on water,i50885
nb,0.7173055858180426,4,0.23646983249536063,0,1,"passenger vehicle, bus, coach",0,1,1,4.0,3.89e-05,1.0,0.12499999999998437,0.0,0.05613544469932769,0.0,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.634885943632918,4,0.28428177053936,0,1,"passenger vehicle, bus, coach",2,1,1,7.0,2.04e-05,1.0,0.41666666666663194,0.0,0.023956299187047645,0.05405405405405259,0.0,0.0,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
it,0.2502689398473165,2,0.14340011526839058,0,0,"passenger vehicle, bus, coach",3,7,9,7.75,1.0059725e-05,1.5,0.4107142857142564,0.0,0.009461264856964226,0.04109589041095835,0.5454545454544959,0.1093749999999983,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
en,0.1998993622129919,2,0.696833989433287,0,1,"passenger vehicle, bus, coach",3,10,18,8.333333333333334,5.856666666666666e-05,3.3333333333333335,0.53333333333328,0.33333333333328574,0.1224488283531609,0.014999999999999925,0.8181818181817438,0.809523809523771,passenger vehicle,a vehicle carrying many passengers; used for public transport,i51285
es,0.5921346042445731,4,0.30966427730636775,0,1,cathedral,0,1,2,8.0,1.82e-05,2.0,0.4999999999999583,0.076923076923071,0.021148421818294055,0.0,0.0,0.07142857142856633,cathedral,any large and important church,i51645
