Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,normalized_length,normalized_pronounce_complexity,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
nb,0.6404498926229717,3,0.4719649886522756,1,1,"rosebush, rose",0,1,1,4.0,0.466,2.19e-05,1.0,0.12499999999998437,0.466,0.0,0.0315669292873802,0.0,0.0,0.0,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.47510721044814797,2,0.1042231290882225,0,0,"rosebush, rose",5,2,10,5.0,0.1925,3.30699e-05,5.0,0.21428571428569898,0.1925,0.22580645161288865,0.03358180476706528,0.06849315068493057,0.09090909090908264,0.12499999999999806,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.46678249061086324,2,0.07243247865815829,0,0,"rosebush, rose",11,2,4,6.0,0.48650000000000004,3.307945e-05,2.0,0.29999999999997,0.48650000000000004,0.14285714285712245,0.06588724159275816,0.05499999999999973,0.09090909090908264,0.14285714285713608,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.4619588621402749,2,0.1589959307850648,0,0,"rosebush, rose",0,1,5,4.0,0.186,5.13e-05,5.0,0.16666666666665278,0.186,0.307692307692284,0.06339421313908665,0.0,0.0,0.2857142857142653,rosebush,any of many shrubs of the genus Rosa that bear roses,i103203
nb,0.6098161598778015,3,0.045885064635358935,0,0,wood,0,1,2,3.0,0.442,0.000692,2.0,0.0,0.442,0.11111111111109877,0.9999999985547933,0.0,0.0,0.08333333333332639,wood,the hard fibrous lignified substance under the bark of trees,i116549
en,0.5750277601295165,3,0.4675449302683631,0,1,wood,91,1,8,4.0,0.199,6.03e-05,8.0,0.09999999999999,0.199,0.9999999999998571,0.12629546586561446,0.45499999999999774,0.0,0.3333333333333175,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.5121554089944286,3,0.1685114897962488,0,0,wood,44,2,5,6.0,0.1875,2.5725e-05,2.5,0.2857142857142653,0.1875,0.0645161290322539,0.025882473771725117,0.602739726027389,0.09090909090908264,0.04687499999999927,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.47642696712700083,2,0.16641179826976693,0,0,wood,12,1,3,6.0,0.189,4.9e-05,3.0,0.33333333333330556,0.189,0.153846153846142,0.06045870498084426,0.3243243243243155,0.0,0.14285714285713266,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.48311316288744716,2,0.23598798006375996,0,1,midnight,0,1,1,7.0,0.884,1.35e-05,1.0,0.4999999999999375,0.884,0.0,0.01942719226030025,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.4626574423816885,2,2.7254508201053763e-05,0,0,midnight,0,1,1,8.0,0.638,2.04e-05,1.0,0.49999999999995,0.638,0.0,0.03774882928086632,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
