Language,Synset,ili,Gloss,Lemma,n_hyponyms,n_synonyms,n_syn_senses,word_length,word_frequency,pronounce_complexity,word_in_children_res,word_in_second_lang_learn_res,n_senses
en,Synset('omw-en-15168185-n'),i116927,12 o'clock at night; the middle of the night,midnight,0,1,1,8,2.04e-05,0.638,0,0,1
en,Synset('omw-en-07929519-n'),i78981,a beverage consisting of an infusion of ground coffee beans,coffee,13,2,7,6,7.24e-05,0.344,0,1,4
en,Synset('omw-en-07929519-n'),i78981,a beverage consisting of an infusion of ground coffee beans,java,13,2,7,4,1e-05,0.82,0,0,3
en,Synset('omw-en-07933274-n'),i79004,a beverage made by steeping tea leaves in water,tea,5,1,5,3,5.37e-05,0.193,0,1,5
en,Synset('omw-en-09328904-n'),i85647,a body of (usually fresh) water surrounded by land,lake,51,1,3,4,6.76e-05,0.193,0,0,3
en,Synset('omw-en-09503682-n'),i86562,a causal agent creating and controlling things in the universe,nature,0,1,5,6,9.55e-05,0.599,0,0,5
en,Synset('omw-en-03624767-n'),i55427,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),knight,0,2,7,6,1.91e-05,0.195,0,0,2
en,Synset('omw-en-03624767-n'),i55427,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),horse,0,2,7,5,5.75e-05,0.205,0,1,5
en,Synset('omw-en-08226699-n'),i80343,a community of people smaller than a town,small town,1,3,11,10,0.000113,0.818,0,0,1
en,Synset('omw-en-08226699-n'),i80343,a community of people smaller than a town,village,1,3,11,7,6.61e-05,0.686,1,1,3
en,Synset('omw-en-08226699-n'),i80343,a community of people smaller than a town,settlement,1,3,11,10,3.09e-05,0.832,0,0,7
en,Synset('omw-en-04373894-n'),i59896,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,sword,8,4,19,5,2.34e-05,0.486,0,0,1
en,Synset('omw-en-04373894-n'),i59896,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,steel,8,4,19,5,5.13e-05,0.58,0,0,3
en,Synset('omw-en-04373894-n'),i59896,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,brand,8,4,19,5,6.76e-05,0.731,0,1,6
en,Synset('omw-en-09426788-n'),i86143,a division of an ocean or a large body of salt water partially enclosed by land,sea,40,1,3,3,0.000115,0.184,0,1,3
en,Synset('omw-en-00478262-n'),i37904,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,soccer,0,2,2,6,3.02e-05,0.487,0,0,1
en,Synset('omw-en-00478262-n'),i37904,a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal,association football,0,2,2,20,5.7e-05,0.871,0,0,1
en,Synset('omw-en-07886849-n'),i78683,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,beer,4,1,1,4,5.01e-05,0.233,0,0,1
en,Synset('omw-en-09238926-n'),i85180,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,cave,5,1,1,4,1.58e-05,0.197,0,0,1
en,Synset('omw-en-03541696-n'),i54942,a hotel providing overnight lodging for travelers,hostel,4,5,11,6,2.69e-06,0.851,0,0,2
