Language,basicness_score_experimental,basicness_rank,basicness_score,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_word_frequency,avg_n_senses,normalized_length,normalized_n_senses,normalized_frequency,normalized_n_hyponyms,normalized_n_synonyms,normalized_n_syn_senses,example_en_lemma,example_en_gloss,ili
nb,0.6868267447631209,4,0.47193754246421393,1,1,"rose, rosebush",0,1,1,4.0,2.19e-05,1.0,0.12499999999998437,0.0,0.0315669292873802,0.0,0.0,0.0,rose,any of many shrubs of the genus Rosa that bear roses,i103203
it,0.484686781212691,3,0.08655173238038553,0,0,"rose, rosebush",5,2,10,5.0,3.30699e-05,5.0,0.21428571428569898,0.22580645161288865,0.03358180476706528,0.06849315068493057,0.09090909090908264,0.12499999999999806,rose,any of many shrubs of the genus Rosa that bear roses,i103203
en,0.4831368053858405,3,0.058311116269622036,0,0,"rose, rosebush",11,2,4,6.0,3.307945e-05,2.0,0.29999999999997,0.14285714285712245,0.06588724159275816,0.05499999999999973,0.09090909090908264,0.14285714285713608,rose,any of many shrubs of the genus Rosa that bear roses,i103203
es,0.47584264181036184,3,0.1182857151190848,0,0,"rose, rosebush",0,1,5,4.0,5.13e-05,5.0,0.16666666666665278,0.307692307692284,0.06339421313908665,0.0,0.0,0.2857142857142653,rose,any of many shrubs of the genus Rosa that bear roses,i103203
nb,0.6556198110821575,4,0.04588191460348674,0,0,wood,0,1,2,3.0,0.000692,2.0,0.0,0.11111111111109877,0.9999999985547933,0.0,0.0,0.08333333333332639,wood,the hard fibrous lignified substance under the bark of trees,i116549
en,0.5815702412835219,4,0.3762279885342475,0,1,wood,91,1,8,4.0,6.03e-05,8.0,0.09999999999999,0.9999999999998571,0.12629546586561446,0.45499999999999774,0.0,0.3333333333333175,wood,the hard fibrous lignified substance under the bark of trees,i116549
it,0.5214907026107741,3,0.13992792914523955,0,0,wood,44,2,5,6.0,2.5725e-05,2.5,0.2857142857142653,0.0645161290322539,0.025882473771725117,0.602739726027389,0.09090909090908264,0.04687499999999927,wood,the hard fibrous lignified substance under the bark of trees,i116549
es,0.4905740242454886,3,0.12384972260171025,0,0,wood,12,1,3,6.0,4.9e-05,3.0,0.33333333333330556,0.153846153846142,0.06045870498084426,0.3243243243243155,0.0,0.14285714285713266,wood,the hard fibrous lignified substance under the bark of trees,i116549
nb,0.5810335225367272,4,0.23597278284415565,0,1,midnight,0,1,1,7.0,1.35e-05,1.0,0.4999999999999375,0.0,0.01942719226030025,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.4840961924831948,3,3.4851317800733506e-05,0,0,midnight,0,1,1,8.0,2.04e-05,1.0,0.49999999999995,0.0,0.03774882928086632,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
it,0.4438905906830472,2,0.014515572195483724,0,0,midnight,0,1,3,10.0,1.78e-05,3.0,0.5714285714285307,0.09677419354838085,0.017575049826120584,0.0,0.0,0.015624999999999757,midnight,12 o'clock at night; the middle of the night,i116927
es,0.4351088471260313,2,5.679331051418322e-07,0,0,midnight,0,1,1,10.0,7.59e-06,1.0,0.6666666666666111,0.0,0.007606795053532444,0.0,0.0,0.0,midnight,12 o'clock at night; the middle of the night,i116927
en,0.5662532779604337,4,0.6046075102571917,1,1,"break of day, morning, first light",0,12,21,10.0,0.00017533333333333333,2.0,0.69999999999993,0.14285714285712245,0.38157904385556085,0.0,0.9999999999999091,0.9523809523809071,break of day,the first light of day,i116932
nb,0.46153862153766817,2,5.00066801667344e-09,0,0,"break of day, morning, first light",0,1,1,6.0,1.29e-06,1.0,0.37499999999995315,0.0,0.0017812173673661935,0.0,0.0,0.0,break of day,the first light of day,i116932
it,0.44653894684953194,2,0.2094881125914422,0,0,"break of day, morning, first light",0,7,26,5.333333333333333,1.0616666666666668e-05,5.666666666666667,0.23809523809522107,0.26881720430105793,0.01004508195954739,0.0,0.5454545454544959,0.37499999999999417,break of day,the first light of day,i116932
es,0.44608489277301827,2,0.10781117198349228,0,0,"break of day, morning, first light",0,2,4,6.0,1.91e-05,2.0,0.33333333333330556,0.076923076923071,0.02229709892369325,0.0,0.2499999999999375,0.21428571428569898,break of day,the first light of day,i116932
en,0.4887072407794055,3,0.45217300994285625,0,1,"dusk, fall, twilight",1,9,22,5.333333333333333,4.812e-05,5.333333333333333,0.23333333333330997,0.6190476190475306,0.0992654399607966,0.004999999999999975,0.7272727272726611,0.9999999999999525,dusk,the time of day immediately following sunset,i116935
it,0.4395412868902136,2,0.022117695597927037,0,0,"dusk, fall, twilight",0,2,4,9.5,1.034e-06,2.0,0.5357142857142474,0.03225806451612695,0.0,0.0,0.09090909090908264,0.031249999999999514,dusk,the time of day immediately following sunset,i116935
nb,0.4230041512522039,1,0.0,0,0,"dusk, fall, twilight",0,1,1,9.0,5.75e-08,1.0,0.7499999999999063,0.0,0.0,0.0,0.0,0.0,dusk,the time of day immediately following sunset,i116935
es,0.39711820411648563,1,0.19144088799864914,0,0,"dusk, fall, twilight",1,3,6,9.666666666666666,1.6299999999999999e-06,2.0,0.6388888888888355,0.076923076923071,0.0,0.027027027027026296,0.499999999999875,0.3571428571428316,dusk,the time of day immediately following sunset,i116935
en,0.667675143404712,4,0.9999999999986517,0,1,"time of year, season",8,2,4,9.0,0.000454,2.0,0.59999999999994,0.14285714285712245,0.9999999977807861,0.0399999999999998,0.09090909090908264,0.14285714285713608,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
it,0.5852566205308427,4,0.2537456327074551,0,1,"time of year, season",11,1,5,8.0,0.000129,5.0,0.42857142857139796,0.22580645161288865,0.13414104891144857,0.15068493150684725,0.0,0.04687499999999927,time of year,one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions,i117307
