ili,representation_lemma,en_definitions,lang_lemmas
i51496,macchina,['a motor vehicle with four wheels; usually propelled by an internal combustion engine'],auto
i79247,coppia,['a pair who associate with one another'],coppia
i79244,coppia,['a set of two similar things considered as a unit'],paio
i70690,istanza,['a formal message requesting something that is submitted to an authority'],domanda
i53562,fax,['duplicator that transmits the copy by wire or radio'],fax
i35561,causa,['any entity that produces an effect or is responsible for events or results'],causa
i41886,partecipazione,['the act of sharing in the activities of a group'],intervento
i69362,partecipazione,['the activity of communicating; the activity of conveying information'],comunicazione
i89370,babbo,['an informal term for a father; probably derived from baby talk'],padre
i35593,messaggio,['something that is communicated by or to or between people or groups'],messaggio
i69368,messaggio,['a communication (usually brief) that is written or spoken or signaled'],messaggio
i55888,palazzo,['any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks'],macchina
i67332,norma,['the fundamental assumptions from which something is begun or developed or calculated or explained'],legge
i37579,norma,['(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition'],norma
i109732,norma,['a standard or model or pattern regarded as typical'],norma
i71618,garanzia,['a written assurance that some product or service will be provided or will meet certain specifications'],garanzia
i71622,garanzia,['an unconditional commitment that something will happen or that something is true'],garanzia
i36243,effetto,['influencing strongly'],risultato
i74711,discorso,['the act of delivering a formal spoken communication to an audience'],discorso
i74151,discorso,['the use of speech for informal exchange of views or ideas or information etc.'],discorso
i40384,utilizzo,['the act of using'],uso
i112745,approvazione,['acceptance as true or valid'],approvazione
i76158,approvazione,['a feeling of liking something or someone good'],consenso
i71625,approvazione,['a message expressing a favorable opinion'],approvazione
i117260,ora,['clock time'],ora
i116704,ora,['a reading of a point in time as given by a clock'],ora
i117257,ora,['a period of time equal to 1/24th of a day'],ora
i40705,raggruppamento,['the activity of putting things together in groups'],raggruppamento
i40714,raggruppamento,['the act of gathering something together'],raccolta
i79104,raccolta,['several things grouped together or considered as a whole'],scelta
i35587,processo,['a sustained phenomenon or one marked by gradual changes through a series of states'],processo
i40766,processo,['a particular course of action intended to achieve a result'],processo
i48658,gente,['all of the living human inhabitants of the earth'],mondo
i80034,gente,['the body of citizens of a state or country'],gente
i79059,gente,['(plural) any group of human beings (men or women or children) collectively'],gente
i36672,ripresa,['beginning again'],ripresa
i74475,domanda,['a sentence of inquiry that asks for a reply'],domanda
i61282,chiave,['a hand tool that is used to hold or twist a nut or bolt'],chiave
i55358,chiave,"[""metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated""]",chiave
