en_most_freq_lemma,en_definitions,basicness_score
['tea'],['a beverage made by steeping tea leaves in water'],4
"['horse', 'knight']",['a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa)'],2
['breakfast'],['the first meal of the day (usually in the morning)'],4
['countryside'],['rural regions'],3
['soccer'],"[""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]",4
['fish'],['any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills'],4
['prince'],['a male member of a royal family other than the sovereign (especially the son of a sovereign)'],3
['fog'],['droplets of water vapor suspended in the air near the ground'],4
"['lodge', 'inn']",['a hotel providing overnight lodging for travelers'],3
"['conditions', 'weather']",['the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation'],4
"['theatre', 'theater']",['the art of writing and producing plays'],4
"['rain', 'rainfall']",['water falling in drops from vapor condensed in the atmosphere'],4
"['king', 'Rex']",['a male sovereign; ruler of a kingdom'],4
"['boiler', 'kettle']",['a metal pot for stewing or boiling; usually has a lid'],4
['umbrella'],['a lightweight handheld collapsible canopy'],4
"['crown', 'diadem']",['an ornamental jeweled headdress signifying sovereignty'],4
"['coach', 'bus']",['a vehicle carrying many passengers; used for public transport'],4
"['brand', 'steel']",['a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard'],2
['beer'],['a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops'],4
"['rose', 'rosebush']",['any of many shrubs of the genus Rosa that bear roses'],4
"['guest', 'invitee']",['a visitor to whom hospitality is extended'],4
"['memorial', 'monument']",['a structure erected to commemorate persons or events'],4
['party'],['an occasion on which people can assemble for social interaction and entertainment'],4
"['faith', 'religion']",['a strong belief in a supernatural power or powers that control human destiny'],3
['sea'],['a division of an ocean or a large body of salt water partially enclosed by land'],4
['fish'],['any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills'],4
"['picture', 'painting']",['graphic art consisting of an artistic composition made by applying paints to a surface'],4
['soccer'],"[""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]",4
['nature'],['a causal agent creating and controlling things in the universe'],2
"['mountain', 'mount']",['a land mass that projects well above its surroundings; higher than a hill'],4
"['village', 'settlement']",['a community of people smaller than a town'],4
"['culture', 'civilization']",['a particular society at a particular time and place'],3
"['coast', 'sea-coast']",['the shore of a sea or ocean'],4
['church'],['a place for public (especially Christian) worship'],4
"['celebration', 'festivity']",['any joyous diversion'],4
"['wine', 'vino']",['fermented juice (of grapes especially)'],4
"['summer', 'summertime']",['the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox'],4
"['coffee', 'java']",['a beverage consisting of an infusion of ground coffee beans'],4
['farm'],['workplace consisting of farm buildings and cultivated land as a unit'],4
['sculpture'],['a three-dimensional work of plastic art'],4
['mosaic'],['art consisting of a design made of small pieces of colored stone or glass'],3
['soccer'],"[""a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal""]",4
['guitar'],['a stringed instrument usually having six strings; played by strumming or plucking'],4
['monastery'],['the residence of a religious community'],3
['pastry'],['any of various baked foods made of dough or batter'],4
['statue'],['a sculpture representing a human or animal'],4
['cathedral'],['any large and important church'],3
"['terrace', 'patio']",['usually paved outdoor area adjoining a residence'],4
"['wine', 'vino']",['fermented juice (of grapes especially)'],4
"['ham', 'gammon']",['meat cut from the thigh of a hog (usually smoked)'],4
['cheese'],['a solid food prepared from the pressed curd of milk'],4
"['family', 'sept']",['people descended from a common ancestor'],4
"['sun', 'Sun']",['the star that is the source of light and heat for the planets in the solar system'],4
['sea'],['a division of an ocean or a large body of salt water partially enclosed by land'],4
"['valley', 'vale']",['a long depression in the surface of the land that usually contains a river'],4
"['fisher', 'fisherman']",['someone whose occupation is catching fish'],4
['bean'],['any of various edible seeds of plants of the family Leguminosae used for food'],4
"['pig', 'hog']",['domestic swine'],4
['saint'],['a person who has died and has been declared a saint by canonization'],3
"['morning', 'dawn']",['the first light of day'],4
"['sport', 'athletics']",['an active diversion requiring physical exertion and competition'],4
['river'],['a large natural stream of water (larger than a creek)'],4
['wave'],['one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)'],4
"['crown', 'diadem']",['an ornamental jeweled headdress signifying sovereignty'],4
['lake'],['a body of (usually fresh) water surrounded by land'],4
"['harbor', 'haven']",['a sheltered port where ships can take on or discharge cargo'],4
['season'],['one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions'],4
['cave'],['a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea'],4
['storm'],['a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning'],4
"['snow', 'snowfall']",['precipitation falling from clouds in the form of ice crystals'],4
['midnight'],"[""12 o'clock at night; the middle of the night""]",3
"['king', 'Rex']",['a male sovereign; ruler of a kingdom'],4
"['morning', 'dawn']",['the first light of day'],4
['boat'],['a small vessel for travel on water'],4
['wood'],['the hard fibrous lignified substance under the bark of trees'],4
"['fall', 'twilight']",['the time of day immediately following sunset'],3
['ski'],['narrow wood or metal or plastic runners used in pairs for gliding over snow'],3
"['mountain', 'mount']",['a land mass that projects well above its surroundings; higher than a hill'],4
"['falls', 'waterfall']",['a steep descent of the water of a river'],4
['nature'],['a causal agent creating and controlling things in the universe'],2
